"id";"nome";"estado_id"
1;"ALTA FLORESTA D'OESTE";11
2;"ARIQUEMES";11
3;"CABIXI";11
4;"CACOAL";11
5;"CEREJEIRAS";11
6;"COLORADO DO OESTE";11
7;"CORUMBIARA";11
8;"COSTA MARQUES";11
9;"ESPIGAO D'OESTE";11
10;"GUAJARA-MIRIM";11
11;"JARU";11
12;"JI-PARANA";11
13;"MACHADINHO D'OESTE";11
14;"NOVA BRASILANDIA D'OESTE";11
15;"OURO PRETO DO OESTE";11
16;"PIMENTA BUENO";11
17;"PORTO VELHO";11
18;"PRESIDENTE MEDICI";11
19;"RIO CRESPO";11
20;"ROLIM DE MOURA";11
21;"SANTA LUZIA D'OESTE";11
22;"VILHENA";11
23;"SAO MIGUEL DO GUAPORE";11
24;"NOVA MAMORE";11
25;"ALVORADA D'OESTE";11
26;"ALTO ALEGRE DO PARECIS";11
27;"ALTO PARAISO";11
28;"BURITIS";11
29;"NOVO HORIZONTE DO OESTE";11
30;"CACAULANDIA";11
31;"CAMPO NOVO DE RONDONIA";11
32;"CANDEIAS DO JAMARI";11
33;"CASTANHEIRAS";11
34;"CHUPINGUAIA";11
35;"CUJUBIM";11
36;"GOVERNADOR JORGE TEIXEIRA";11
37;"JAMARI";11
38;"MINISTRO ANDREAZZA";11
39;"MIRANTE DA SERRA";11
40;"MONTE NEGRO";11
41;"NOVA UNIAO";11
42;"PARECIS";11
43;"PIMENTEIRAS DO OESTE";11
44;"PRIMAVERA DE RONDONIA";11
45;"SAO FELIPE D'OESTE";11
46;"SAO FRANCISCO DO GUAPORE";11
47;"SERINGUEIRAS";11
48;"TEIXEIROPOLIS";11
49;"THEOBROMA";11
50;"URUPA";11
51;"VALE DO ANARI";11
52;"VALE DO PARAISO";11
53;"ACRELANDIA";10
54;"ASSIS BRASIL";10
55;"BRASILEIA";10
56;"BUJARI";10
57;"CAPIXABA";10
58;"CRUZEIRO DO SUL";10
59;"EPITACIOLANDIA";10
60;"FEIJO";10
61;"JORDAO";10
62;"MANCIO LIMA";10
63;"MANOEL URBANO";10
64;"MARECHAL THAUMATURGO";10
65;"PLACIDO DE CASTRO";10
66;"PORTO WALTER";10
67;"RIO BRANCO";10
68;"RODRIGUES ALVES";10
69;"SANTA ROSA DO PURUS";10
70;"SENADOR GUIOMARD";10
71;"SENA MADUREIRA";10
72;"TARAUACA";10
73;"XAPURI";10
74;"PORTO ACRE";10
75;"ALVARAES";5
76;"AMATURA";5
77;"ANAMA";5
78;"ANORI";5
79;"APUI";5
80;"ATALAIA DO NORTE";5
81;"AUTAZES";5
82;"BARCELOS";5
83;"BARREIRINHA";5
84;"BENJAMIN CONSTANT";5
85;"BERURI";5
86;"BOA VISTA DO RAMOS";5
87;"BOCA DO ACRE";5
88;"BORBA";5
89;"CAAPIRANGA";5
90;"CANUTAMA";5
91;"CARAUARI";5
92;"CAREIRO";5
93;"CAREIRO DA VARZEA";5
94;"COARI";5
95;"CODAJAS";5
96;"EIRUNEPE";5
97;"ENVIRA";5
98;"FONTE BOA";5
99;"GUAJARA";5
100;"HUMAITA";5
101;"IPIXUNA";5
102;"IRANDUBA";5
103;"ITACOATIARA";5
104;"ITAMARATI";5
105;"ITAPIRANGA";5
106;"JAPURA";5
107;"JURUA";5
108;"JUTAI";5
109;"LABREA";5
110;"MANACAPURU";5
111;"MANAQUIRI";5
112;"MANAUS";5
113;"MANICORE";5
114;"MARAA";5
115;"MAUES";5
116;"NHAMUNDA";5
117;"NOVA OLINDA DO NORTE";5
118;"NOVO AIRAO";5
119;"NOVO ARIPUANA";5
120;"PARINTINS";5
121;"PAUINI";5
122;"PRESIDENTE FIGUEIREDO";5
123;"RIO PRETO DA EVA";5
124;"SANTA ISABEL DO RIO NEGRO";5
125;"SANTO ANTONIO DO ICA";5
126;"SAO GABRIEL DA CACHOEIRA";5
127;"SAO PAULO DE OLIVENCA";5
128;"SAO SEBASTIAO DO UATUMA";5
129;"SILVES";5
130;"TABATINGA";5
131;"TAPAUA";5
132;"TEFE";5
133;"TONANTINS";5
134;"UARINI";5
135;"URUCARA";5
136;"URUCURITUBA";5
137;"AMAJARI";12
138;"ALTO ALEGRE";12
139;"BOA VISTA";12
140;"BONFIM";12
141;"CANTA";12
142;"CARACARAI";12
143;"CAROEBE";12
144;"IRACEMA";12
145;"MUCAJAI";12
146;"NORMANDIA";12
147;"PACARAIMA";12
148;"RORAINOPOLIS";12
149;"SAO JOAO DA BALIZA";12
150;"SAO LUIZ";12
151;"UIRAMUTA";12
152;"ABAETETUBA";15
153;"ABEL FIGUEIREDO";15
154;"ACARA";15
155;"AFUA";15
156;"AGUA AZUL DO NORTE";15
157;"ALENQUER";15
158;"ALMEIRIM";15
159;"ALTAMIRA";15
160;"ANAJAS";15
161;"ANANINDEUA";15
162;"ANAPU";15
163;"AUGUSTO CORREA";15
164;"AURORA DO PARA";15
165;"AVEIRO";15
166;"BAGRE";15
167;"BAIAO";15
168;"BANNACH";15
169;"BARCARENA";15
170;"BELEM";15
171;"BELTERRA";15
172;"BENEVIDES";15
173;"BOM JESUS DO TOCANTINS";15
174;"BONITO";15
175;"BRAGANCA";15
176;"BRASIL NOVO";15
177;"BREJO GRANDE DO ARAGUAIA";15
178;"BREU BRANCO";15
179;"BREVES";15
180;"BUJARU";15
181;"CACHOEIRA DO PIRIA";15
182;"CACHOEIRA DO ARARI";15
183;"CAMETA";15
184;"CANAA DOS CARAJAS";15
185;"CAPANEMA";15
186;"CAPITAO POCO";15
187;"CASTANHAL";15
188;"CHAVES";15
189;"COLARES";15
190;"CONCEICAO DO ARAGUAIA";15
191;"CONCORDIA DO PARA";15
192;"CUMARU DO NORTE";15
193;"CURIONOPOLIS";15
194;"CURRALINHO";15
195;"CURUA";15
196;"CURUCA";15
197;"DOM ELISEU";15
198;"ELDORADO DOS CARAJAS";15
199;"FARO";15
200;"FLORESTA DO ARAGUAIA";15
201;"GARRAFAO DO NORTE";15
202;"GOIANESIA DO PARA";15
203;"GURUPA";15
204;"IGARAPE-ACU";15
205;"IGARAPE-MIRI";15
206;"INHANGAPI";15
207;"IPIXUNA DO PARA";15
208;"IRITUIA";15
209;"ITAITUBA";15
210;"ITUPIRANGA";15
211;"JACAREACANGA";15
212;"JACUNDA";15
213;"JURUTI";15
214;"LIMOEIRO DO AJURU";15
215;"MAE DO RIO";15
216;"MAGALHAES BARATA";15
217;"MARABA";15
218;"MARACANA";15
219;"MARAPANIM";15
220;"MARITUBA";15
221;"MEDICILANDIA";15
222;"MELGACO";15
223;"MOCAJUBA";15
224;"MOJU";15
225;"MONTE ALEGRE";15
226;"MUANA";15
227;"NOVA ESPERANCA DO PIRIA";15
228;"NOVA IPIXUNA";15
229;"NOVA TIMBOTEUA";15
230;"NOVO PROGRESSO";15
231;"NOVO REPARTIMENTO";15
232;"OBIDOS";15
233;"OEIRAS DO PARA";15
234;"ORIXIMINA";15
235;"OUREM";15
236;"OURILANDIA DO NORTE";15
237;"PACAJA";15
238;"PALESTINA DO PARA";15
239;"PARAGOMINAS";15
