"id";"nome";"uf"
"1";"MINAS GERAIS";"MG"
"2";"SÃO PAULO";"SP"
"3";"ESPÍRITO SANTO";"ES"
"4";"RIO DE JANEIRO";"RJ"
"5";"AMAZONAS";"AM"
"6";"GOIÁS";"GO"
"7";"MATO GROSSO";"MT"
"8";"MATO GROSSO DO SUL";"MS"
"9";"DISTRITO FEDERAL";"DF"
"10";"ACRE";"AC"
"11";"RONDÔNIA";"RO"
"12";"RORAIMA";"RR"
"13";"AMAPÁ";"AP"
"14";"TOCANTIS";"TO"
"15";"PARA";"PA"
"16";"MARANHÃO";"MA"
"17";"PIAUI";"PI"
"18";"CEARA";"CE"
"19";"RIO GRANDE DO NORTE";"RN"
"20";"PARAIBA";"PB"
"21";"PERNAMBUCO";"PE"
"22";"SERGIPE";"SE"
"23";"ALAGOAS";"AL"
"24";"BAHIA";"BA"
"25";"PARANÁ";"PR"
"26";"SANTA CATARINA";"SC"
"27";"RIO GRANDE DO SUL";"RS"
